Class,Global Model Before Accuracy (%),Global Model After Accuracy Without FULDEBUG (%),Global Model After Accuracy With FULDEBUG (%)
0,79.2,71.8,82.0
1,86.9,82.9,85.5
2,62.1,57.6,60.1
3,67.9,52.3,69.0
4,74.8,83.9,77.0
5,13.3,0.0,14.3
6,86.4,87.2,87.3
7,82.7,68.2,77.6
8,83.9,83.0,83.1
9,79.9,72.0,79.5
